Label of the societies
Club Cruise Fleet & Technical Department
Oceanwide Expeditions
Elegant Cruises and Tours
Antarctic Shipping S.A.
Rederij Bark EUROPA B.V.
Hapag-Lloyd Kreuzfahrten
Quark Expeditions
Travel Dynamics International
Hansa Kreuzfahrten GmbH
Voyages of Discovery
Hurtigruten ASA
Hapag-Lloyd Kreuzfahrten
Oceanstar
Quark Expeditions
High Latitudes
Compagnie Des Iles Du Ponant
Quark Expeditions
Transocean Tours Touristik GmbH
Aurora Expeditions
Abercrombie and Kent/ All Leisure Group
Lindblad Expeditions
Quark Expeditions
Orion Expedition Cruises
Aurora Expeditions
Polar Star Expeditions
Silversea Cruises Ltd.
Oceanwide Expeditions
Moir Holdings Australia Pty Ltd
Saga Shipping Company Ltd
Heritage Expeditions
Antarpply Expeditions
Holland America Line, Inc
Japan Grace Co., Ltd. / Peaceboat 
Crystal Cruises, Inc.
Holland America Line, Inc
Princess Cruises
Ocean Expeditions
Golden Fleece Expeditions Ltd.
Kotick Charters Ltd.
Pelagic Expeditions LTD
Ocean Expeditions
Sea & Ice & Mountains Expeditions
Sterna Corporation
Spirit of Sydney Expeditions
Tiama Research Expedition Charters
Latitude Océane
Xplore Expeditions
