Site's name;Latitude;Longitude;Iaato ?;Zone's label;SubZone's label
Petermann Island;65.1;64.1;true;Antarctic Peninsula;Penola Strait
Pitt Islands;65.26;65.3;true;Antarctic Peninsula;North of Renaud Is, Biscoe Islands
Pitt Point;63.51;58.22;true;Antarctic Peninsula;Trinity Peninsula (Victory Glacier)
Pléneau Island;65.06;64.04;true;Antarctic Peninsula;Penola Strait
Portal Point;64.3;61.46;true;Antarctic Peninsula;Reclus Peninsula
Port Lockroy;64.5;63.3;true;Antarctic Peninsula;Port Lockroy hut -see also Jougla Pt
Prospect Point;66.01;65.21;true;Antarctic Peninsula;Holtedahl Bay
Robert Point;62.28;59.23;true;Antarctic Peninsula;Robert Island, SSI
Rongé Island;64.43;62.41;true;Antarctic Peninsula;West side of Errera Channel
Rosamel Island;63.34;56.17;true;Antarctic Peninsula;Antarctic Sound
Rum Cove;64.06;58.25;true;Antarctic Peninsula;James Ross Is
Seymour Island;64.19;56.43;true;Antarctic Peninsula;Seymour Island
Shingle Cove;60.39;45.34;true;Antarctic Peninsula;South coast of Coronation I., SOI
Skontorp Cove;64.54;62.52;true;Antarctic Peninsula;Paradise Harbor ,if landing
Small Island;64;61.27;true;Antarctic Peninsula;Off Intercurrence Island
Snow Hill Island;64.28;57.12;true;Antarctic Peninsula;Admiralty Sound
Spigot Peak;64.39;62.34;true;Antarctic Peninsula;Errera Channel (near Spigot Peak)
Spring Point;64.18;61.03;true;Antarctic Peninsula;Hughes Bay
Stonington Island;68.11;67;true;Antarctic Peninsula;East Marguerite Bay
Su‚àö¬∞rez Glacier;64.56;62.56;true;Antarctic Peninsula;Paradise Harbor
Telefon Bay;62.56;60.4;true;Antarctic Peninsula;Deception Island , walk to craters
Torgersen Island;64.46;64.05;true;Antarctic Peninsula;Arthur Harbor, Anvers I.
Turret Point;62.05;57.55;true;Antarctic Peninsula;King George Island, SSI
Tuxen, Cape;65.16;64.08;true;Antarctic Peninsula;Waddington Bay (Mt. Demaria)
Useful Island;64.43;62.52;true;Antarctic Peninsula;West of Ronge Island
Valentine, Cape;61.06;54.39;true;Antarctic Peninsula;Eastern Elephant I., SSI
View Point;63.33;57.22;true;Antarctic Peninsula;Duse Bay, Trinity Peninsula
Waddington Bay;65.16;64.05;true;Antarctic Peninsula;Penola Strait (Mt. Mill)
Wauwermans Islands;64.55;63.53;true;Antarctic Peninsula;South of Anvers Island
Whalers Bay;62.59;60.34;true;Antarctic Peninsula;Deception Island , old stations
Wiggins Glacier;65.14;64.03;true;Antarctic Peninsula;Grandidier Channel
Wild, Point;61.06;54.52;true;Antarctic Peninsula;Northern Elephant I., SSI
Yalour Islands;65.14;64.1;true;Antarctic Peninsula;Penola Strait
Yankee Harbor;62.32;59.47;true;Antarctic Peninsula;Greenwich I., SSI - Spit Point
Ushuaia;54.47;68.13;false;Argentina;
Bertha's beach;51.52;58.19;false;Falklands;
Bleaker Island;52.12;58.51;false;Falklands;
Carcass Island;51.18;60.34;false;Falklands;
George & Barren Islands;52.21;59.45;false;Falklands;
Grand Jason;51.04;61.05;false;Falklands;
Grave Cove;51.22;60.38;false;Falklands;
Gypsy Cove;51.41;57.48;false;Falklands;
Kidney Cove;51.38;57.46;false;Falklands;
New Island;51.43;61.18;false;Falklands;
Pebble Island;51.18;59.31;false;Falklands;
Port Howard;51.37;59.31;false;Falklands;
Saunders Island;51.22;60.05;false;Falklands;
Sea Lion Island;52.26;59.05;false;Falklands;
Second Passage Island;51.35;60.47;false;Falklands;
Steeple Jason;51.02;61.12;false;Falklands;
Volunteer Point;51.28;57.5;false;Falklands;
Weddell Island;51.54;60.54;false;Falklands;
West Point Island;51.21;60.41;false;Falklands;
Elsehul;54.01;37.59;false;South Georgia;
Prion Island;54.1;37.2;false;South Georgia;
Salisbury Plain;54.03;37.19;false;South Georgia;
Prince Olav Harbour;54.04;37.09;false;South Georgia;
Fortuna Bay;54.07;36.48;false;South Georgia;
Hercules Bay;54.08;36.4;false;South Georgia;
Leith Harbour;54.08;36.41;false;South Georgia;
Stromness Harbour;54.1;36.43;false;South Georgia;
Husvik;54.11;36.43;false;South Georgia;
Jason Harbour;54.11;36.35;false;South Georgia;
Grytviken (King Edward Point);54.17;36.3;false;South Georgia;
Maiviken;54.15;36.31;false;South Georgia;
Cobblers Cove;54.16;36.18;false;South Georgia;
Godthul;54.17;36.18;false;South Georgia;
Ocean Harbour;54.2;36.16;false;South Georgia;
Saint Andrews Bay;54.26;36.11;false;South Georgia;
Moltke Harbour;54.31;36.04;false;South Georgia;
Will Point & Brisbane Point;54.32;36;false;South Georgia;
Gold Harbour;54.37;35.56;false;South Georgia;
Cooper Bay;54.47;35.48;false;South Georgia;
Drygalski Fjord & Larsen Harbour;54.5;36.01;false;South Georgia;
King Haakon Bay;54.1;37.2;false;South Georgia;
